eyetoeye,eyetomouth,class
3.3333333333333335,131.6666667,1
5.0,170,1
3.3333333333333335,113.3333333,1
1.6666666666666667,106.6666667,1
1.6666666666666667,111.6666667,1
3.3333333333333335,110,1
15.0,98.33333333,1
13.333333333333334,110,1
20.0,101.6666667,1
3.3333333333333335,86.66666667,1
21.666666666666668,130,1
13.333333333333334,125,1
21.666666666666668,120,1
10.0,153.3333333,1
13.333333333333334,106.6666667,1
3.3333333333333335,110,1
3.3333333333333335,133.3333333,1
5.0,101.6666667,1
3.3333333333333335,96.66666667,1
55.0,110,1
8.333333333333334,100,1
13.333333333333334,105,1
0.0,178.3333333,1
11.666666666666668,86.66666667,1
10.0,150,1
3.3333333333333335,95,1
5.0,123.3333333,1
1.6666666666666667,123.3333333,1
5.0,110,1
30.0,100,1
3.3333333333333335,121.6666667,1
11.666666666666668,96.66666667,1
3.3333333333333335,95,1
6.666666666666667,105,1
13.333333333333334,100,1
18.333333333333332,121.6666667,1
15.0,78.33333333,1
25.0,90,1
3.3333333333333335,125,1
1.6666666666666667,90,1
1.6666666666666667,130,1
8.333333333333334,143.3333333,1
5.0,106.6666667,1
18.333333333333332,90,1
1.6666666666666667,96.66666667,1
0.0,108.3333333,1
10.0,101.6666667,1
13.333333333333334,93.33333333,1
1.6666666666666667,83.33333333,1
1.6666666666666667,106.6666667,1
5.0,100,1
8.333333333333334,85,1
1.6666666666666667,103.3333333,1
1.6666666666666667,88.33333333,1
1.6666666666666667,145,1
0.0,86.66666667,1
1.6666666666666667,85,1
1.6666666666666667,101.6666667,1
6.666666666666667,108.3333333,1
3.3333333333333335,118.3333333,1
3.3333333333333335,96.66666667,1
36.666666666666664,101.6666667,1
10.0,83.33333333,1
6.666666666666667,83.33333333,1
8.333333333333334,101.6666667,1
3.3333333333333335,78.33333333,1
5.0,123.3333333,1
11.666666666666668,96.66666667,1
5.0,86.66666667,1
13.333333333333334,121.6666667,1
3.3333333333333335,88.33333333,1
15.0,108.3333333,1
6.666666666666667,91.66666667,1
1.6666666666666667,115,1
20.0,115,1
15.0,85,1
3.3333333333333335,103.3333333,1
5.0,88.33333333,1
3.3333333333333335,103.3333333,1
3.3333333333333335,123.3333333,1
6.666666666666667,108.3333333,1
1.6666666666666667,98.33333333,1
3.3333333333333335,80,1
6.666666666666667,83.33333333,1
15.0,133.3333333,1
10.0,113.3333333,1
8.333333333333334,113.3333333,1
5.0,90,1
6.666666666666667,118.3333333,1
1.6666666666666667,118.3333333,1
21.666666666666668,120,1
13.333333333333334,98.33333333,1
25.0,106.6666667,1
5.0,93.33333333,1
16.666666666666668,116.6666667,1
hesaplanamadı,115,1
6.666666666666667,100,1
